PCB,PCB,JLCPCB,3,$17.00,https://jlcpcb.com/
Switches,Choc Switches (any type),ChosFox,58,$43.18,https://chosfox.com/products/kailh-chocs
Keycaps,MBK PBT Blank Choc Keycaps,Keebio,58,$25.00,https://keeb.io/products/mbk-keycaps
Fasteners,M3 Inserts,AliExpress,8,$1.00,https://www.aliexpress.us/item/3256809350944670.html?src=google&pdp_npi=4%40dis!USD!7.59!3.79!!!!!%40!12000049636036822!ppc!!!&gatewayAdapt=glo2usa
Misc Electronics,1N4148W-7-F Diode (SMD),DigiKey,58,$3.00,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148W-7-F/814371
Misc Electronics,R-666994 Reset Switch (SMD),DigiKey,2,$4.00,https://www.digikey.com/en/products/detail/c-k/R666994/10095289
Misc Electronics,SPDT Toggle Switch,DigiKey,2,$3.64,https://www.digikey.com/en/products/detail/nkk-switches/M2012SS1W01/105581
Misc Electronics,3.4V 100mAh LiPo Battery,Battery,2,$11.90,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1570/5054546
Misc Electronics,Kailh Choc v1 Hotswap Sockets,ChosFox,58,$8.70,https://chosfox.com/products/kailh-choc-switch-1350-hot-swap-sockets
Misc Electronics,Super Mini nRF52840,AliExpress,2,$5.26,https://www.aliexpress.us/item/3256808426826043.html?spm=a2g0o.productlist.main.1.1eb74cf7UxTgCl&algo_pvid=7e400c28-d937-4820-9e1d-4da8e552b4fc&algo_exp_id=7e400c28-d937-4820-9e1d-4da8e552b4fc-0&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.83%215.26%21%21%2148.41%2137.28%21%402103039517611805497462333e6e47%2112000045950519867%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3a88428c%3Bm03_new_user%3A-29895&curPageLogUid=KJKK44yVeQ7b&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008613140795%7C_p_origin_prod%3A
